Customer,Revenue per transaction,Month & Year
cus_GeSG0AukTYqYeQ,19.11,2020-01
cus_GeSBEvnXlZJTNR,19.12,2020-01
cus_G5TGjigD3OvU1A,0,2020-01
cus_GeRlFDg4uAQ6uC,19.12,2020-01
cus_G5xX1116KUPuQR,19.12,2020-01
cus_FtrkM5OMzuxy5a,-19.12,2020-01
cus_Fy3ArxExyH2gY4,19.12,2020-01
cus_FAbHwrYLK1ZyUF,19.12,2020-01
cus_GeMyY1gLVQGxy6,19.12,2020-01
cus_GabZlKbrlCretb,0,2020-01
cus_Dt9S4rrvB1aOvy,19.12,2020-01
cus_ERatA2q8AyLpx0,174.48,2020-01
cus_GFKMQGQH6xERJ5,0,2020-01
cus_GeKPssIEiHzo4H,19.12,2020-01
cus_GSgwRexf9sTakT,19.12,2020-01
cus_EJOIoYYeJJlaLO,0,2020-01
cus_ERZMJqIMTZf1ej,174.48,2020-01
cus_FAW1n9NVlQpD3B,19.12,2020-01
cus_EOLqECKkF1jvAD,0,2020-01
cus_GeJ3b62iG3DyW8,19.12,2020-01
cus_GeILwziGVYBTHv,19.12,2020-01
cus_GPmD1B6zFacra8,0,2020-01
cus_GeHuYwUa12IGag,19.12,2020-01
cus_GeGiTIGwo5vVyU,19.12,2020-01
cus_GPQ09IkqhLCLkV,0,2020-01
cus_ERWF2R6gfLWkK7,174.48,2020-01
cus_FXIlNCBnu7RS0M,19.12,2020-01
cus_GQzX5kMgRUNByv,-155.36,2020-01
cus_FXHc8tlvEkJQib,19.12,2020-01
cus_EODs9YxlNlyRys,0,2020-01
cus_EoaoQQsT1qpPjL,7281.9,2020-01
cus_Cxbqk7eWqjuHQe,19.12,2020-01
cus_GCvraz6ASeICtR,0,2020-01
cus_GHD7jHiiacw0XA,19.12,2020-01
cus_ERJYqPMX9WUlWu,174.48,2020-01
cus_G0x28MPNdVUnBE,-38.24,2020-01
cus_Ge3kxoGpyPYtVT,19.12,2020-01
cus_FX74xGWxkrbYKy,19.12,2020-01
cus_FuKKdx22nbaNKw,19.12,2020-01
cus_Ez039JIR7z3sQd,19.12,2020-01
cus_Bg5EORv81hB5we,19.12,2020-01
cus_GCUs0sQz7pGtbj,0,2020-01
cus_Ge1X2nV5YALGux,19.12,2020-01
cus_EMIYNhOr8t1rON,0,2020-01
cus_GSN7KqZrgTfLHx,19.12,2020-01
cus_CmDb2UgcL7Z1Ve,19.12,2020-01
cus_G5WS0SMVTpe3U1,-38.24,2020-01
cus_Gdy5AaPxxfKtiV,19.12,2020-01
cus_GSKaTmtfkriVBG,19.12,2020-01
cus_A1k9DOVyQ8DXH0,19.12,2020-01
